N,Run,Acc_2Nm,F1_2Nm,Prec_2Nm,Recall_2Nm,Acc_4Nm,F1_4Nm,Prec_4Nm,Recall_4Nm,TrainTime_s,Test2_Infer_s,Test2_Viz_s,Test4_Infer_s,Test4_Viz_s
23,3,0.835,0.802664866,0.908552432,0.835,0.8195,0.781946602,0.90335097,0.8195,288.7550757,4.7523034,3.4932837,4.4015176,3.2580229
23,4,0.992,0.99198587,0.992015153,0.992,0.9815,0.981474967,0.981591597,0.9815,273.6272898,5.1828661,3.3441048,4.6653007,3.4406867
23,5,0.991,0.991024282,0.991223878,0.991,0.98,0.980116065,0.981308437,0.98,295.3715521,5.1059796,3.3131868,4.7046087,3.3397078
23,6,0.874,0.863026079,0.92177773,0.874,0.738,0.725261771,0.877727962,0.738,291.3946334,5.7202278,3.3551076,5.1269507,3.4211952
23,7,0.9275,0.92503736,0.946788991,0.9275,0.9305,0.928336548,0.948423006,0.9305,273.4474497,4.6442015,3.2594527,4.5792983,3.2441052
23,8,0.992,0.99203223,0.992307692,0.992,0.979,0.978836659,0.980015951,0.979,283.2628014,4.9430479,3.5763239,5.2654166,3.3454173
23,9,0.9295,0.927988551,0.94326534,0.9295,0.9325,0.931376336,0.942634204,0.9325,275.7470127,4.9461346,3.3707261,4.503935,3.4126563
23,10,0.9875,0.987422355,0.987924954,0.9875,0.969,0.968630832,0.972199464,0.969,272.4670197,4.8886203,3.6996243,4.5756022,3.4972805
24,1,0.8315,0.794650626,0.90716032,0.8315,0.8155,0.7637375,0.89887188,0.8155,321.4765308,5.2127033,3.4078467,4.7005147,3.2885758
24,2,0.9975,0.997499902,0.997530864,0.9975,0.988,0.987994053,0.988439692,0.988,297.9973131,5.0375985,3.3355476,4.5489524,3.2977047
24,3,0.647,0.582175965,0.671899437,0.647,0.6045,0.510770025,0.667170445,0.6045,291.0526302,4.9439201,3.3760984,5.1978903,3.3178925
24,4,0.8715,0.8608118,0.921765601,0.8715,0.8315,0.824974169,0.908548168,0.8315,297.0336508,4.672139,3.4515077,4.5590507,3.3935003
24,5,0.915,0.912366413,0.93388407,0.915,0.89,0.885892293,0.920704883,0.89,294.7303031,5.3513046,3.4024514,5.499629,3.3050503
24,6,0.8035,0.748448585,0.900386203,0.8035,0.788,0.73859146,0.890197741,0.788,296.1174988,4.9888814,3.4361562,4.981589,3.3024775
24,7,0.8625,0.844075305,0.918518519,0.8625,0.8755,0.862552934,0.922040921,0.8755,292.4159043,4.9668322,3.4029059,4.4320281,3.2715184
24,8,0.922,0.91992391,0.94080536,0.922,0.894,0.891728905,0.921993405,0.894,275.3604624,5.0180354,3.342421,4.4344285,3.2499251
24,9,0.9685,0.968382396,0.971722393,0.9685,0.8995,0.892913327,0.927468944,0.8995,296.7471542,4.8040098,3.4785497,5.1492105,3.2617718
24,10,0.8795,0.869001191,0.924804992,0.8795,0.8315,0.823403696,0.904201838,0.8315,281.9537404,4.7630221,3.463006,4.4820737,3.5084759
25,1,0.6,0.478671298,0.61984347,0.6,0.6,0.475088681,0.414470814,0.6,282.9886444,5.2069272,3.251396,4.4835882,3.3047773
25,2,0.8955,0.893574811,0.90861245,0.8955,0.876,0.873388168,0.893045091,0.876,273.0320551,4.8918162,3.3557688,5.0371271,3.3882913
25,3,0.8965,0.890264597,0.931795717,0.8965,0.886,0.882574259,0.927388535,0.886,291.982141,4.9367396,3.4884489,4.9039403,3.4026891
25,4,0.907,0.901979974,0.934894995,0.907,0.906,0.901065,0.934177323,0.906,285.3896864,5.0589397,3.3439013,4.6925942,3.3315028
25,5,0.997,0.996999831,0.997044335,0.997,0.994,0.993998291,0.994072724,0.994,286.4970665,4.964862,3.3427889,4.6522589,3.1917963
25,6,0.9865,0.986484605,0.98735363,0.9865,0.9665,0.967022371,0.97130621,0.9665,270.2401656,5.064885,3.3629307,5.0834634,3.2868971
25,7,0.996,0.995999975,0.9960049,0.996,0.9955,0.995503081,0.995514795,0.9955,285.2415131,5.1276251,3.4063532,4.5188419,3.3595894
25,8,0.7145,0.671965414,0.834731134,0.7145,0.655,0.57122565,0.816029693,0.655,287.2598672,4.832863,3.4251787,5.3741936,3.3357418
25,9,0.765,0.731271978,0.853940237,0.765,0.761,0.721575113,0.856024534,0.761,278.4716859,4.7429052,3.4106773,4.2220754,3.2396789
25,10,0.737,0.678244326,0.793379022,0.737,0.6945,0.617537091,0.806997007,0.6945,282.4043951,4.734115,3.5464752,4.3104205,3.2793848
26,1,0.7595,0.737283257,0.841963193,0.7595,0.6935,0.626984698,0.816735533,0.6935,316.3112373,4.967344,3.3848835,4.5318168,3.3565192
26,2,0.8775,0.871640336,0.891350026,0.8775,0.8655,0.857909534,0.87543765,0.8655,308.7298643,4.9222269,3.4474776,4.790512,3.3517869
26,3,0.848,0.822346891,0.913636364,0.848,0.8445,0.819548363,0.912177303,0.8445,327.1195399,4.7874121,3.3823199,4.4953998,3.3894796
26,4,0.815,0.763120569,0.899715654,0.815,0.809,0.750647583,0.897073562,0.809,316.0382283,5.1846306,3.6070136,5.1633384,3.3339763
26,5,0.9995,0.999499999,0.999501247,0.9995,0.998,0.997999987,0.99800995,0.998,302.2957832,4.970214,3.5706934,5.0613684,3.4021007
26,6,0.899,0.892318473,0.932890365,0.899,0.896,0.892196392,0.930200848,0.896,304.6446875,5.1389164,3.5078222,5.8411381,3.3836927
26,7,0.8405,0.811531678,0.91092186,0.8405,0.8365,0.811569056,0.908001339,0.8365,315.6456915,5.4761576,3.4356757,4.9533249,3.412701
26,8,0.858,0.836856652,0.915038435,0.858,0.8505,0.826689964,0.910742389,0.8505,320.9292394,5.8482193,3.4278663,5.9863044,3.3889405
26,9,0.8985,0.895340426,0.912028092,0.8985,0.865,0.856753009,0.885321297,0.865,306.6557158,4.7487152,3.4408364,4.8211793,3.3855536
26,10,0.8975,0.892555181,0.926009615,0.8975,0.8235,0.810673447,0.88053512,0.8235,302.3941436,5.015607,3.4552655,4.8621878,3.3695481
27,1,0.837,0.8093134,0.905288665,0.837,0.8385,0.812274981,0.90516097,0.8385,336.362849,4.9349039,3.4190002,4.4567651,3.2313371
27,2,0.997,0.996999944,0.997024777,0.997,0.9945,0.994500429,0.994559086,0.9945,330.1259176,5.4337242,3.4595664,5.2030392,3.2911854
27,3,0.9545,0.953989178,0.962766553,0.9545,0.9255,0.925721335,0.944801404,0.9255,334.7989976,6.0094904,3.4136897,5.0027247,3.3924118
27,4,0.954,0.953442336,0.962102923,0.954,0.9645,0.964142187,0.969580668,0.9645,319.451233,5.3800606,3.4807255,4.6795835,3.3866855
27,5,0.7265,0.658368771,0.845970117,0.7265,0.703,0.631419551,0.834202525,0.703,327.4434546,5.2363871,3.3917032,5.0451544,3.2465595
27,6,0.994,0.993999062,0.994121326,0.994,0.97,0.96964382,0.971448992,0.97,304.1590019,4.9144768,3.3481403,4.4273778,3.3576367
27,7,0.9895,0.98949276,0.990023753,0.9895,0.991,0.990995945,0.991249128,0.991,299.3501794,5.307034,3.5227407,4.6911953,3.3072991
27,8,0.8655,0.849568829,0.917700687,0.8655,0.8055,0.784573371,0.895202884,0.8055,331.2480487,5.6457648,3.4625431,4.5458644,3.3750419
27,9,0.952,0.951453728,0.960111556,0.952,0.937,0.936310782,0.944215059,0.937,324.8417603,4.9865569,3.4637847,5.4519543,3.3978298
27,10,0.979,0.978963803,0.98031494,0.979,0.9655,0.965435839,0.967838655,0.9655,302.1748817,4.8043974,3.4360449,4.5974678,3.3792769
28,1,0.999,0.998999371,0.999002494,0.999,0.9985,0.998499993,0.998506222,0.9985,316.7878216,5.3239111,3.5253286,5.3100529,3.3674388
28,2,0.971,0.970846763,0.974672489,0.971,0.966,0.965775331,0.97061415,0.966,322.467665,5.0955395,3.4022161,5.0001277,3.3575361
28,3,0.891,0.882390441,0.927422003,0.891,0.888,0.879871808,0.924261024,0.888,310.8400589,5.6406226,3.546136,5.4798652,3.3369547
28,4,0.9995,0.999499999,0.999501247,0.9995,0.9805,0.980205303,0.981096387,0.9805,314.5764617,5.1541415,3.4204654,5.2193322,3.4559058
28,5,1,1,1,1,0.9985,0.998499998,0.998501241,0.9985,330.5841338,4.871439,3.5869363,4.9668661,3.3616652
28,6,0.9995,0.999499999,0.999501247,0.9995,0.9985,0.998501236,0.998511166,0.9985,332.1794024,4.8722634,3.4459509,5.3731217,3.3483449
28,7,0.818,0.771658988,0.904712042,0.818,0.818,0.772239529,0.904712042,0.818,303.8964493,4.8935871,3.4976169,5.0827602,3.4727286
28,8,0.8735,0.864824662,0.915294789,0.8735,0.8445,0.829511175,0.902721474,0.8445,299.9016237,5.3655332,3.4954143,4.7985872,3.4479227
28,9,1,1,1,1,0.995,0.994999464,0.995089482,0.995,312.0208786,5.0038791,3.4241747,5.3725707,3.2676244
28,10,0.9885,0.988493114,0.988981109,0.9885,0.9805,0.980479152,0.982232346,0.9805,312.73125,4.7605829,3.8163746,4.7365403,3.4960207
29,1,1,1,1,1,0.994,0.993985803,0.994124445,0.994,256.571421,4.648513,3.6035732,4.2048053,3.4596846
29,2,0.998,0.997999987,0.99800495,0.998,0.989,0.989001655,0.989331281,0.989,249.8117978,4.2802074,3.3043238,3.9869333,3.3947354
29,3,0.456,0.380084035,0.666112532,0.456,0.4405,0.354356542,0.653050398,0.4405,252.6908584,4.1907316,3.3504008,3.7535943,3.2329897
29,4,0.91,0.908242729,0.929299083,0.91,0.886,0.883495194,0.915144597,0.886,252.7770076,4.1826221,3.2777207,4.2129202,3.3087391
29,5,0.9855,0.985532449,0.986480186,0.9855,0.9685,0.968487005,0.97170071,0.9685,265.1527711,4.0929411,3.4047429,4.2018137,3.289129
29,6,0.7985,0.736502637,0.899241718,0.7985,0.794,0.734027251,0.898522167,0.794,238.8152548,4.0495544,3.3186501,3.9435986,3.2138529
29,7,0.752,0.687905515,0.782163113,0.752,0.7375,0.673947421,0.742501795,0.7375,245.2217721,3.9209695,3.1843938,4.1341065,3.3184246
29,8,0.998,0.998,0.998,0.998,0.993,0.992999539,0.993075218,0.993,248.8304408,4.0064514,3.4203698,4.338084,3.263978
29,9,0.589,0.495179593,0.865466448,0.589,0.59,0.520406366,0.86468642,0.59,230.4740236,4.0355901,3.3335246,4.0173342,3.2756839
