N,Run,Acc_2Nm,F1_2Nm,Prec_2Nm,Recall_2Nm,Acc_4Nm,F1_4Nm,Prec_4Nm,Recall_4Nm,TrainTime_s,Test2_Infer_s,Test2_Viz_s,Test4_Infer_s,Test4_Viz_s
14,4,0.8145,0.8150517850969823,0.8165123718471033,0.8145,0.7705,0.7598562598770499,0.7666926186619759,0.7705,5.391889499999934,0.5745755999998892,4.535956899999974,0.5724161000000549,4.729370900000049
14,5,0.8005,0.7943365745328484,0.7936392962399472,0.8004999999999999,0.7495,0.7432435569331438,0.742507918161863,0.7495,5.328326000000061,0.9192269000000124,4.750258600000052,1.0316093999999794,4.494165199999998
14,6,0.8015,0.8027785045623885,0.8096578865093808,0.8015000000000001,0.7515,0.736237683060179,0.7478987684980347,0.7515000000000001,5.263120299999855,0.835304300000189,4.382162799999833,0.9732483000000229,4.662678299999925
14,7,0.442,0.4240960875929375,0.4190439440049988,0.44200000000000006,0.4375,0.4154620646679284,0.4095174524352564,0.4375,4.3489382000000205,0.5829681000000164,5.7245024000001195,0.5770770000001448,4.984233700000004
14,8,0.571,0.5684665871891091,0.5821755931375788,0.571,0.5885,0.578613646618226,0.5852734386376477,0.5885,3.837664299999915,0.9137470999999096,5.370325399999956,0.8677224000000479,5.0592664000000696
14,9,0.7445,0.7426128511032115,0.7597369088847425,0.7445,0.7075,0.69718866658563,0.7168992761946027,0.7074999999999999,4.527784200000042,0.8681728000001385,4.556716000000051,0.9149512999999843,5.08681230000002
14,10,0.6205,0.6130697158635351,0.607971368741418,0.6205,0.611,0.5983105260084234,0.5896758499381998,0.611,4.473047099999803,0.5481559999998353,4.598708600000009,0.5470494999999573,4.584651599999916
15,1,0.575,0.5696783828227567,0.5668533416867575,0.575,0.5435,0.5420509011666808,0.5417766854991388,0.5435000000000001,3.108875300000136,0.4998614000000998,5.44085240000004,0.5612609000002067,5.419000399999959
15,2,0.739,0.7370581329087929,0.7374577889608732,0.7389999999999999,0.6785,0.6712700174941828,0.673600441645056,0.6784999999999999,5.499035900000081,0.4838987000000543,4.501751900000045,0.5329216000000088,4.603856699999824
15,3,0.308,0.3044063222882126,0.3056560741176839,0.308,0.2915,0.28951072399512845,0.2920241371242541,0.2915,3.2314737000001514,0.8639215999999124,5.43197280000004,0.8468800999999075,5.197873999999956
15,4,0.809,0.802673472318358,0.8028275688703157,0.8089999999999999,0.7465,0.7379490837212606,0.7450035742888306,0.7465,4.720464399999855,1.0060048999998799,4.694760100000167,1.183090699999866,4.836733499999809
15,5,0.7295,0.7289710186790941,0.740566691624078,0.7295,0.6725,0.6685267651479746,0.6850733706855862,0.6725000000000001,4.889228399999865,0.48134509999999864,4.787192599999798,0.5677441000002545,4.592755099999977
15,6,0.862,0.8564742958838771,0.8614123965746557,0.8619999999999999,0.8125,0.8070528747151636,0.8183326027650205,0.8125,5.0165351000000555,0.49577099999987695,4.731005799999821,0.5485527999999249,4.622903000000406
15,7,0.867,0.8666800617904222,0.8671061014549271,0.867,0.796,0.7891945253390593,0.793048972396103,0.7959999999999999,5.029149099999813,0.45005540000011024,4.597940699999981,0.5616244000002553,4.82277460000023
15,8,0.83,0.8288032371347283,0.8380161594516675,0.8300000000000001,0.7515,0.7303514944487892,0.7515886686560431,0.7515,5.1862708000003295,0.6362285000000156,4.498318399999789,0.5491128999997272,4.5415280000001985
15,9,0.7995,0.7986265787254186,0.7994399081543054,0.7995,0.752,0.7518340272751979,0.7524160540336424,0.752,4.9306047000000035,0.4965719000001627,4.657969899999898,0.592372499999783,4.819934199999807
15,10,0.7905,0.7880743989879704,0.7869275179588732,0.7905,0.744,0.7370638888198316,0.7354504751936579,0.744,4.59692189999987,0.43611280000004626,4.240154699999948,0.5395991999998841,4.564868499999648
16,1,0.845,0.843420225160069,0.8426728551499856,0.845,0.7305,0.7073766260338007,0.7096460023810691,0.7305,4.671591499999977,0.6974270999999135,4.850792900000215,0.7031631999998353,4.910074099999747
16,2,0.7955,0.7924465664553229,0.800917535647325,0.7955,0.7395,0.7170507828291266,0.7322619656414364,0.7395,5.547202700000071,0.7312709000002542,4.770538599999782,0.7314148000000387,4.914751300000262
16,3,0.912,0.9117107093297973,0.9141100456828317,0.9120000000000001,0.8115,0.7987432740667393,0.8055848199667462,0.8115,5.076332000000093,0.4782565999998951,4.6792679000000135,0.48641009999983,4.479954200000066
16,4,0.7355,0.7312276011531487,0.7315066023549277,0.7355,0.71,0.7004872987878048,0.7023478923041672,0.71,4.407423000000108,1.0218872000000374,4.9646730999998,0.9659906000001683,4.526726999999937
16,5,0.8675,0.8667708859290324,0.8667352633752028,0.8675,0.776,0.7715506077026612,0.7736162939213591,0.776,5.339964499999951,0.854035599999861,4.8753867000000355,0.9093794999998863,5.138026399999944
16,6,0.835,0.8289447318326859,0.8346448759418227,0.835,0.753,0.7441907355109484,0.7543302538172785,0.7529999999999999,4.997547100000247,0.4352926000001389,4.357633000000078,0.5683173000002171,4.552393699999811
16,7,0.8745,0.8733111031906553,0.8728378495127801,0.8745,0.819,0.8136758017597543,0.8127120539826456,0.8190000000000002,4.993430499999704,0.6798642999997355,4.634778300000107,0.7219700000000557,4.6407585000001745
